<<__future__>> <<15:649-659>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<EventManager>> <<17:691-703>> <<type>> <<CLASS>> <<ANCHOR>>
<<__init__>> <<27:1049-1057>> <<function>> <<CONSTRUCTOR>> <<ANCHOR>>
<<register>> <<40:1486-1494>> <<function>> <<METHOD>> <<ANCHOR>>
<<unregister>> <<62:2217-2227>> <<function>> <<METHOD>> <<ANCHOR>>
<<trigger>> <<66:2370-2377>> <<function>> <<METHOD>> <<ANCHOR>>
<<available_events>> <<80:2929-2945>> <<dict>> <<SCOPE>> <<ANCHOR>>
<<_define_event>> <<82:2958-2971>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<pre_execute>> <<94:3412-3423>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<pre_run_cell>> <<102:3643-3655>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<post_execute>> <<107:3740-3752>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<post_run_cell>> <<115:3971-3984>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<shell_initialized>> <<120:4068-4085>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<self>> <<27:1058-1061>> <<EventManager>> <<PARAMETER>> <<ANCHOR>>
<<shell>> <<27:1064-1067>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<available_events>> <<27:1071-1074>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<shell>> <<37:1398-1403>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<n>> <<38:1448-1449>> <<?>> <<SCOPE>> <<ANCHOR>>
<<callbacks>> <<38:1426-1435>> <<dict>> <<ATTRIBUTE>> <<ANCHOR>>
<<self>> <<66:2378-2381>> <<EventManager>> <<PARAMETER>> <<ANCHOR>>
<<event>> <<66:2384-2387>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<nt>> <<66:2387-2389>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<func>> <<72:2651-2655>> <<?>> <<SCOPE>> <<ANCHOR>>
<<self>> <<62:2228-2231>> <<EventManager>> <<PARAMETER>> <<ANCHOR>>
<<event>> <<62:2234-2237>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<function>> <<62:2241-2244>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<callback_proto>> <<82:2972-2975>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<40:1495-1498>> <<EventManager>> <<PARAMETER>> <<ANCHOR>>
<<event>> <<40:1501-1504>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<function>> <<40:1508-1511>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<ip>> <<120:4086-4089>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<print_function>> <<15:667-681>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<shell>> <<37:1406-1411>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1393-1397>> <<EventManager>> <<VARIABLE>> <<LINK>>
<<available_events>> <<38:1453-1469>> <<?>> <<VARIABLE>> <<LINK>>
<<n>> <<38:1448-1449>> <<?>> <<VARIABLE>> <<LINK>>
<<n>> <<38:1439-1440>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<38:1421-1425>> <<EventManager>> <<VARIABLE>> <<LINK>>
<<self>> <<72:2659-2663>> <<EventManager>> <<VARIABLE>> <<LINK>>
<<callbacks>> <<72:2664-2673>> <<dict>> <<VARIABLE>> <<LINK>>
<<event>> <<72:2674-2679>> <<?>> <<VARIABLE>> <<LINK>>
<<func>> <<76:2833-2837>> <<?>> <<VARIABLE>> <<LINK>>
<<event>> <<76:2839-2844>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<77:2864-2868>> <<EventManager>> <<VARIABLE>> <<LINK>>
<<shell>> <<77:2869-2874>> <<?>> <<VARIABLE>> <<LINK>>
<<func>> <<74:2717-2721>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<64:2316-2320>> <<EventManager>> <<VARIABLE>> <<LINK>>
<<callbacks>> <<64:2321-2330>> <<dict>> <<VARIABLE>> <<LINK>>
<<event>> <<64:2331-2336>> <<?>> <<VARIABLE>> <<LINK>>
<<function>> <<64:2345-2353>> <<?>> <<VARIABLE>> <<LINK>>
<<callback_proto>> <<83:3038-3052>> <<?>> <<VARIABLE>> <<LINK>>
<<available_events>> <<83:2994-3010>> <<dict>> <<VARIABLE>> <<LINK>>
<<callback_proto>> <<83:3011-3025>> <<?>> <<VARIABLE>> <<LINK>>
<<callback_proto>> <<84:3065-3079>> <<?>> <<VARIABLE>> <<LINK>>
<<function>> <<58:2076-2084>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<60:2163-2167>> <<EventManager>> <<VARIABLE>> <<LINK>>
<<callbacks>> <<60:2168-2177>> <<dict>> <<VARIABLE>> <<LINK>>
<<event>> <<60:2178-2183>> <<?>> <<VARIABLE>> <<LINK>>
<<function>> <<60:2192-2200>> <<?>> <<VARIABLE>> <<LINK>>
